1,Mortgage,TN,Web,1656566
2,Money transfers,NC,Web,1657374
3,Consumer loan,NJ,Web,1657247
4,Consumer loan,MO,Web,1657086
5,Credit reporting,DE,Web,1655919
6,Debt collection,NM,Web,1655803
7,Debt collection,MO,Web,1655810
8,Debt collection,TX,Web,1655770
9,Consumer loan,NY,Web,1656324
10,Mortgage,MA,Web,1655863
11,Debt collection,AZ,Web,1656298
12,Debt collection,CA,Web,1656285
13,Debt collection,VA,Web,1656312
14,Debt collection,CA,Web,1655676
15,Debt collection,NJ,Web,1655653
16,Debt collection,TX,Web,1655540
17,Bank account or service,CT,Web,1656169
18,Debt collection,PA,Web,1653956
19,Debt collection,KY,Web,1653988
20,Debt collection,GA,Web,1654299
21,Bank account or service,WA,Phone,1654066
22,Mortgage,MA,Web,1654949
23,Debt collection,CA,Web,1655531
24,Credit card,OH,Phone,1654239
25,Debt collection,TX,Web,1655147
26,Mortgage,NC,Web,1655331
27,Consumer loan,CT,Web,1655478
28,Debt collection,NY,Web,1653250
29,Debt collection,CA,Web,1653917
30,Debt collection,TX,Referral,1654214
31,Debt collection,MO,Web,1654616
32,Mortgage,LA,Web,1654675
33,Credit card,TX,Web,1656152
34,Bank account or service,NY,Web,1654472
35,Consumer loan,CA,Web,1653278
36,Debt collection,TX,Web,1653580
37,Credit card,NY,Web,1653504
38,Debt collection,TX,Web,1655166
39,Debt collection,VA,Web,1653594
40,Credit reporting,TN,Web,1653711
41,Debt collection,DE,Web,1653822
42,Mortgage,CT,Web,1653836
43,Credit reporting,CA,Web,1652100
44,Credit reporting,TN,Web,1653291
45,Credit reporting,FL,Web,1651558
46,Debt collection,ND,Web,1652843
47,Credit reporting,CA,Web,1652099
48,Debt collection,MD,Phone,1652058
49,Debt collection,TX,Web,1652195
50,Credit reporting,KS,Web,1652346
51,Credit reporting,WA,Web,1651105
52,Debt collection,IL,Web,1651456
53,Credit reporting,NY,Web,1651648
54,Debt collection,FL,Web,1653025
55,Debt collection,CA,Web,1652197
56,Credit reporting,CA,Web,1651088
57,Debt collection,FL,Web,1652663
58,Bank account or service,NC,Phone,1651473
59,Credit reporting,PA,Web,1651664
60,Credit reporting,CA,Postal,1651280
61,Consumer loan,CO,Phone,1653326
62,Credit reporting,AZ,Web,1653448
63,Credit reporting,MD,Web,1651840
64,Credit reporting,FL,Web,1651400
65,Credit reporting,IL,Web,1651496
66,Prepaid card,TX,Web,1652715
67,Debt collection,MI,Web,1651313
68,Credit reporting,TX,Web,1652712
69,Prepaid card,CA,Web,1655155
70,Mortgage,WA,Web,1652731
71,Prepaid card,MO,Phone,1652569
72,Credit reporting,FL,Web,1654792
73,Debt collection,FL,Web,1651398
74,Debt collection,TX,Phone,1652721
75,Credit reporting,CO,Web,1651090
76,Debt collection,TX,Web,1653263
77,Credit reporting,TN,Web,1653261
78,Credit reporting,NC,Web,1651247
79,Debt collection,FL,Referral,1651853
80,Bank account or service,NJ,Web,1653058
81,Credit reporting,OH,Web,1651245
82,Debt collection,NY,Web,1652765
83,Mortgage,UT,Web,1651693
84,Credit card,CA,Web,1652783
85,Debt collection,FL,Postal,1651567
86,Credit reporting,NV,Web,1653034
87,Credit reporting,TX,Web,1653032
88,Credit reporting,CA,Web,1652102
89,Credit reporting,OH,Web,1653056
90,Credit reporting,TX,Web,1651248
91,Debt collection,FL,Referral,1651788
92,Debt collection,TX,Web,1652252
93,Consumer loan,GA,Web,1653297
94,Credit reporting,FL,Web,1653473
95,Credit reporting,WV,Web,1651340
96,Credit reporting,AR,Web,1652271
97,Credit reporting,TN,Web,1653292
98,Debt collection,TN,Web,1651556
99,Credit reporting,FL,Web,1651401
100,Bank account or service,SC,Web,1652902
